Reference, Quantity, Value, Footprint, Datasheet
C1 C2 C3 C4 ,4,0.1u,kicad_arduino_LCD:1608,~
D1 ,1,LED(RED),kicad_arduino_LCD:LED_5mm,~
LCD1 ,1,AQM0802A-RN-GBW,kicad_add:lcd_AQM0802A-RN-GBW,
P1 ,1,Power,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,
P2 ,1,Analog,Socket_Arduino_Uno:Socket_Strip_Arduino_1x06,
P3 ,1,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x10,
P4 ,1,Digital,Socket_Arduino_Uno:Socket_Strip_Arduino_1x08,
P5 P6 P7 P8 ,4,CONN_01X01,Socket_Arduino_Uno:Arduino_1pin,
R1 R2 ,2,2k,kicad_arduino_LCD:1608,~
R3 R4 R5 R11 R12 R13 R14 ,7,10k,kicad_arduino_LCD:1608,~
R6 ,1,1k,kicad_arduino_LCD:1608,~
R7 R8 R9 R10 ,4,4.7k,kicad_arduino_LCD:1608,~
SW1 SW2 SW3 SW4 ,4,SW_Push_Dual_x2,kicad_arduino_LCD:TactSwitch,
U1 ,1,DS1307+,kicad_add:ic_DIP-8_W7.62mm,https://datasheets.maximintegrated.com/en/ds/DS1307.pdf
U2 ,1,AE-PCA9306,kicad_add:ic_DIP-8_W7.62mm,
Y1 ,1,VT-200-F 32.768kHz,Crystal:Crystal_DS26_D2.0mm_L6.0mm_Horizontal,~
